2018-04-12 11:09:34,310 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,310 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,314 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,314 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,314 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,315 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>3</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:09:34,315 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>3</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:09:34,315 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>3</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:09:34,330 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:09:34,330 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:09:34,330 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
